control_mode,noise_id,step,method,mean_logscore,std_logscore
zero,W2,13,oracle,-1.7407493215219152,0.5621620882234502
zero,W2,14,oracle,-0.2174108785354251,0.029519602034135634
zero,W2,15,oracle,-0.6489302592355044,0.11575485344869749
zero,W2,16,oracle,-1.1645738578697116,0.6200494542866118
zero,W2,17,oracle,-0.7892811188296733,0.19346174217759032
zero,W2,18,oracle,-0.7059921889719858,0.1813135830334893
zero,W2,19,oracle,-0.6970228119515521,0.697830409831202
zero,W2,20,oracle,-2.061380187204634,0.9699777427101443
zero,W2,21,oracle,-1.5505926454724908,1.4016455151860805
zero,W2,22,oracle,-0.9876176637213538,0.5401552209086328
zero,W2,23,oracle,-0.9298364088180912,0.33751126009569243
zero,W2,24,oracle,-0.2727171259765916,0.10336941745341885
zero,W2,25,oracle,-0.2028736019995807,0.008358638763911611
zero,W2,26,oracle,-0.29095550047970464,0.031060284266986923
zero,W2,27,oracle,-0.433875604251513,0.31503062006592636
zero,W2,28,oracle,-0.5482528148848482,0.4875148393293977
zero,W2,29,oracle,-0.4521902686402701,0.34896602207370997
zero,W2,30,oracle,-0.9053739911675392,0.9908838398714409
zero,W2,31,oracle,-0.6213650645792115,0.08715339747678681
zero,W2,0,wdrpp_upper,-1.4996786847904002,0.06597799959168263
zero,W2,1,wdrpp_upper,-1.3451647787059273,0.4049973191339228
zero,W2,2,wdrpp_upper,-1.330536146961406,0.7530879087101079
zero,W2,3,wdrpp_upper,-1.1265989937707388,0.04199200727033727
zero,W2,4,wdrpp_upper,-1.0127993069677912,0.10174061054992568
zero,W2,5,wdrpp_upper,-0.8497555269155503,0.043517853844291826
zero,W2,6,wdrpp_upper,-1.3128117364059564,0.31826805541784076
zero,W2,7,wdrpp_upper,-1.3061802922988317,0.12361674823208887
zero,W2,8,wdrpp_upper,-1.2125696482405637,0.24766720706055287
zero,W2,9,wdrpp_upper,-1.1446025746477764,0.11070466305204449
zero,W2,10,wdrpp_upper,-0.9907418605664835,0.06176371211898221
zero,W2,11,wdrpp_upper,-1.1984320958391874,0.07086813341470305
zero,W2,12,wdrpp_upper,-0.955183995880345,0.07168768939521145
zero,W2,13,wdrpp_upper,-1.532081888425107,0.20927229952565118
zero,W2,14,wdrpp_upper,-1.2676885999978649,0.03446294921047743
zero,W2,15,wdrpp_upper,-1.360736852921678,0.017235556270308434
zero,W2,16,wdrpp_upper,-1.327285860564785,0.27611606762285484
zero,W2,17,wdrpp_upper,-0.9131685308802718,0.3672438369205296
zero,W2,18,wdrpp_upper,-1.2654549739412029,0.4455893423996799
zero,W2,19,wdrpp_upper,-1.2657023365860192,0.23124851983732922
zero,W2,20,wdrpp_upper,-1.5040990700659314,0.046571800305125366
zero,W2,21,wdrpp_upper,-1.1037101330872086,0.2500924122099093
zero,W2,22,wdrpp_upper,-1.19260814458414,0.10690701349049979
zero,W2,23,wdrpp_upper,-1.2843326129839445,0.019574903328791058
zero,W2,24,wdrpp_upper,-1.1397145511011963,0.16302444366799465
zero,W2,25,wdrpp_upper,-1.2379729127746226,0.14801550385316053
zero,W2,26,wdrpp_upper,-1.058169935506104,0.06580409594414796
zero,W2,27,wdrpp_upper,-1.0242209980900374,0.03916304626091682
zero,W2,28,wdrpp_upper,-1.4235559258660473,0.2333918057912842
zero,W2,29,wdrpp_upper,-1.242487138615795,0.07573471791915677
zero,W2,30,wdrpp_upper,-1.5685878901024033,0.2594768004110037
zero,W2,31,wdrpp_upper,-1.5065637257325717,0.22101346664299526
zero,W2,0,wdrpp_lower,-2.2088833039974376,0.0
zero,W2,1,wdrpp_lower,-1.9437097371536534,0.13864202092901073
zero,W2,2,wdrpp_lower,-2.0301605494732358,0.2561679224260398
zero,W2,3,wdrpp_lower,-1.7169889628311785,0.130951054733887
zero,W2,4,wdrpp_lower,-1.7793945457279015,0.008057448765748154
zero,W2,5,wdrpp_lower,-1.3747994400523793,0.07171217153112487
zero,W2,6,wdrpp_lower,-2.007020066087337,0.06709056357811406
zero,W2,7,wdrpp_lower,-2.027527652969183,0.15898281805596196
zero,W2,8,wdrpp_lower,-2.00323939408139,0.05265681057445289
zero,W2,9,wdrpp_lower,-1.8635723121188614,0.15421598235425535
zero,W2,10,wdrpp_lower,-1.6449555657439132,0.206177643379953
zero,W2,11,wdrpp_lower,-2.0979901268512364,0.03614482547220666
zero,W2,12,wdrpp_lower,-1.7123521057680984,0.31682543666641205
zero,W2,13,wdrpp_lower,-2.0453210533288,0.04386296819047099
zero,W2,14,wdrpp_lower,-1.9304883865381857,0.17650137448170203
zero,W2,15,wdrpp_lower,-1.9132024380294004,0.013895357293588496
zero,W2,16,wdrpp_lower,-1.8278007383047887,0.021928840832376343
zero,W2,17,wdrpp_lower,-1.5931228900550156,0.1374345770516273
zero,W2,18,wdrpp_lower,-1.935393553359726,0.04796777016757855
zero,W2,19,wdrpp_lower,-1.9322346157416859,0.1352477853570866
zero,W2,20,wdrpp_lower,-1.7764419697030596,0.16195596004805848
zero,W2,21,wdrpp_lower,-1.8619229728441933,0.12466901793873474
zero,W2,22,wdrpp_lower,-1.961941658840818,0.033238609939243095
zero,W2,23,wdrpp_lower,-2.0006400876805994,0.08395740586045845
zero,W2,24,wdrpp_lower,-1.9848586137013213,0.02411107135589778
zero,W2,25,wdrpp_lower,-2.0850717265973433,0.024006472647359618
zero,W2,26,wdrpp_lower,-1.6226914962452228,0.06553457562833237
zero,W2,27,wdrpp_lower,-1.8611933102188485,0.02820367285323828
zero,W2,28,wdrpp_lower,-2.07920569732236,0.016804801107455122
zero,W2,29,wdrpp_lower,-1.8570617844892832,0.0016392284328344414
zero,W2,30,wdrpp_lower,-1.9955481533148407,0.037580189032663316
zero,W2,31,wdrpp_lower,-2.0217847526060595,0.03954484811621033
zero,W3,0,noise_drpp,-0.6408324766132671,0.11889710616760335
zero,W3,1,noise_drpp,-1.9489634830440037,0.01382015680748896
zero,W3,2,noise_drpp,-1.635875997138949,0.003394696089106743
zero,W3,3,noise_drpp,-1.583873542171038,0.09190007267899308
zero,W3,4,noise_drpp,-1.2377695278647163,0.02376792377867828
zero,W3,5,noise_drpp,-1.3011290243150166,0.05935150906007371
zero,W3,6,noise_drpp,-1.617208784920723,0.06169187672008608
zero,W3,7,noise_drpp,-1.5506837442069819,0.0007070622159983391
zero,W3,8,noise_drpp,-1.4205497167724686,0.0026858317781118268
zero,W3,9,noise_drpp,-1.6766322572288597,0.1313862940799507
zero,W3,10,noise_drpp,-2.1140707734993054,0.044625080720234314
zero,W3,11,noise_drpp,-1.6708546819063967,0.3219936698315527
zero,W3,12,noise_drpp,-1.548115572856996,0.014947388665170666
zero,W3,13,noise_drpp,-1.6504064137460672,0.1738305046959661
zero,W3,14,noise_drpp,-2.0221346870118087,0.2528883477298069
zero,W3,15,noise_drpp,-1.4696152682917014,0.11062517712259744
zero,W3,16,noise_drpp,-1.917520960815074,0.1948238376075811
zero,W3,17,noise_drpp,-1.2682248547673831,0.06672344143465046
zero,W3,18,noise_drpp,-1.865968308249978,0.04756805738572284
zero,W3,19,noise_drpp,-1.3823240489971207,0.0015004753478279037
zero,W3,20,noise_drpp,-1.71152018140539,0.06589846229152722
zero,W3,21,noise_drpp,-1.9061038168275637,0.16260152328145244
zero,W3,22,noise_drpp,-1.6568715775693557,0.2869784124802845
zero,W3,23,noise_drpp,-1.8302570825804059,0.14796309471811192
zero,W3,24,noise_drpp,-1.6373734324010214,0.018951060900694646
zero,W3,25,noise_drpp,-1.825969564911503,0.004581048455777768
zero,W3,26,noise_drpp,-2.0679030006572408,0.007220271842691651
zero,W3,27,noise_drpp,-0.9947096499112102,0.006975856477162804
zero,W3,28,noise_drpp,-1.775032825697135,0.12967879946958458
zero,W3,29,noise_drpp,-1.7653301842999312,0.122714442640038
zero,W3,30,noise_drpp,-1.5506548284799964,0.1950172421383524
zero,W3,31,noise_drpp,-2.21990669259824,0.5905633596047081
zero,W3,0,kde,-0.3056213018750622,0.11706096367317533
zero,W3,1,kde,-1.477451405436588,0.1741925366988171
zero,W3,2,kde,-0.9468135708198725,0.0035090754166162814
zero,W3,3,kde,-1.2859205348103309,0.009985134027411937
zero,W3,4,kde,-0.8172930177485291,0.5697315905532736
zero,W3,5,kde,-0.8112083474252567,0.04889820821521805
zero,W3,6,kde,-1.3321699756445682,0.4427649277529093
